,feature_1,feature_2,feature_3,feature_4,feature_5
0,0.978826956,0.269072265,0.428747772,0.61074358,0.305823011
1,0.516343109,0.242067139,0.749536342,0.066392402,0.749587741
2,0.419779944,0.294531975,0.495886015,0.623969935,0.220128733
3,0.696938999,0.712465514,0.604260837,0.515038912,0.365214365
4,0.844729707,0.153239132,0.7405131,0.906168121,0.393810096
5,0.263913271,0.223968796,0.62664342,0.202904759,0.381461247
6,0.779067791,0.102142799,0.645493968,0.871854915,0.369612261
7,0.368930338,0.781500428,0.839944702,0.79115965,0.958622779
8,0.020270902,0.78090964,0.880309927,0.121713717,0.734245853
9,0.465586326,0.153995085,0.341291779,0.635890438,0.870829095
10,0.401776332,0.592421773,0.217769046,0.300505405,0.267063002
11,0.354794066,0.163511916,0.284524286,0.318287431,0.819450534
12,0.500309296,0.364422916,0.700329229,0.913579998,0.554582959
13,0.872719985,0.688425271,0.424251104,0.389893603,0.558720276
14,0.510309283,0.766691994,0.57278206,0.024223073,0.307935499
15,0.985158288,0.976036766,0.068503438,0.965249121,0.137129519
16,0.666613149,0.742151631,0.778902604,0.573040371,0.508284661
17,0.47839554,0.251851794,0.282353263,0.99528037,0.180375073
18,0.47991473,0.009384259,0.35753428,0.988293665,0.000643582
19,0.267973935,0.928406014,0.706302279,0.743876217,0.581241432
20,0.212865811,0.966364344,0.485465809,0.966477499,0.251673623
21,0.122084575,0.294432043,0.308172527,0.30812301,0.072381549
22,0.305005748,0.568124376,0.720579173,0.149617871,0.82394
23,0.982261137,0.30983535,0.212470613,0.264003238,0.13856228
24,0.179009662,0.270919606,0.503677727,0.76164633,0.906658742
25,0.026226277,0.592206307,0.60950457,0.771362735,0.681082509
26,0.658226619,0.099309763,0.274769135,0.748673584,0.324790059
27,0.644751888,0.498000625,0.063395272,0.217171001,0.495071164
28,0.189492069,0.708864195,0.894251293,0.552792241,0.791734823
29,0.036382876,0.148210956,0.923054381,0.706065764,0.866164344
30,0.138619245,0.14776839,0.118037724,0.215524139,0.869370211
31,0.779571205,0.576348737,0.07224759,0.251697798,0.046128493
